"Search Parameters";"Volcano Name";"Country";"Latitude";"Longitude";"Elevation (m)";""
"";"San Jose";"Argentina";"-33.789";"-69.895";"6070";""
"";"Antillanca Volcanic Complex";"Chile";"-40.783";"-72.15";"1979";""
"";"Antuco";"Chile";"-37.406";"-71.349";"2979";""
"";"Azul, Cerro";"Chile";"-35.653";"-70.761";"3788";""
"";"Blancas, Lomas";"Chile";"-36.286";"-71.009";"2268";""
"";"Caburgua-Huelemolle";"Chile";"-39.25";"-71.75";"1652";""
"";"Calabozos";"Chile";"-35.558";"-70.496";"3508";""
"";"Callaqui";"Chile";"-37.92";"-71.45";"3164";""
"";"Carran-Los Venados";"Chile";"-40.35";"-72.07";"1114";""
"";"Chillan, Nevados de";"Chile";"-36.868";"-71.378";"3180";""
"";"Copahue";"Chile";"-37.856";"-71.183";"2953";""
"";"Descabezado Grande";"Chile";"-35.58";"-70.75";"3953";""
"";"Infiernillo";"Chile";"-35.123";"-69.9";"3007";""
"";"Llaima";"Chile";"-38.692";"-71.729";"3125";""
"";"Longavi, Nevado de";"Chile";"-36.196";"-71.164";"3175";""
"";"Lonquimay";"Chile";"-38.379";"-71.586";"2832";""
"";"MariA�aqui, Laguna";"Chile";"-38.255";"-71.167";"2108";""
"";"Maule, Laguna del";"Chile";"-36.058";"-70.492";"2162";""
"";"Mocho-Choshuenco";"Chile";"-39.927";"-72.027";"2422";""
"";"Palomo";"Chile";"-34.608";"-70.295";"4860";""
"";"Pantojo, Cerro";"Chile";"-40.77";"-71.95";"1897";""
"";"Planchon-Peteroa";"Chile";"-35.223";"-70.568";"3977";""
"";"Puntiagudo-Cordon Cenizos";"Chile";"-40.969";"-72.264";"2493";""
"";"Puyehue-Cordon Caulle";"Chile";"-40.59";"-72.117";"2236";""
"";"Quetrupillan";"Chile";"-39.496";"-71.722";"2360";""
"";"Resago, Volcan";"Chile";"-36.461";"-70.903";"1890";""
"";"San Pedro-Pellado";"Chile";"-35.989";"-70.849";"3621";""
"";"Sollipulli";"Chile";"-38.97";"-71.52";"2282";""
"";"Tinguiririca";"Chile";"-34.814";"-70.352";"4280";""
"";"Tolhuaca";"Chile";"-38.31";"-71.645";"2739";""
"";"Tralihue";"Chile";"-38.509";"-70.898";"2448";""
"";"Tupungatito";"Chile";"-33.425";"-69.797";"5660";""
"";"Villarrica";"Chile";"-39.42";"-71.93";"2847";""
"";"Rapa Nui";"Chile";"-27.114";"-109.356";"501";""
"";"Robinson Crusoe";"Chile";"-33.658";"-78.85";"922";""
"";"San Felix";"Chile";"-26.27";"-80.12";"183";""
"";"Unnamed";"Chile";"-33.622";"-78.78";"0";""
"";"Unnamed";"Chile";"-33.62";"-76.83";"-642";""
"";"Bayo Gorbea, Cerro";"Argentina";"-25.414";"-68.588";"5413";""
"";"Cordon del Azufre";"Argentina";"-25.336";"-68.521";"5481";""
"";"Corrida de Cori Volcanic Field";"Argentina";"-25.083";"-68.367";"5451";""
"";"Llullaillaco";"Argentina";"-24.72";"-68.53";"6739";""
"";"Ojos del Salado, Nevados";"Argentina";"-27.109";"-68.541";"6879";""
"";"Socompa";"Argentina";"-24.396";"-68.246";"6031";""
"";"Azufre, Cerro del";"Bolivia";"-21.787";"-68.237";"5846";""
"";"Guayaques";"Bolivia";"-22.895";"-67.566";"5598";""
"";"Irruputuncu";"Bolivia";"-20.73";"-68.55";"5163";""
"";"Olca-Paruma";"Bolivia";"-20.939";"-68.413";"5705";""
"";"Sairecabur";"Bolivia";"-22.719";"-67.891";"5961";""
"";"Acamarachi";"Chile";"-23.292";"-67.618";"6023";""
"";"Caichinque";"Chile";"-23.949";"-67.74";"4458";""
"";"Chiliques";"Chile";"-23.58";"-67.7";"5778";""
"";"Colachi";"Chile";"-23.236";"-67.645";"5631";""
"";"Copiapo";"Chile";"-27.3";"-69.13";"6052";""
"";"Cordon de Puntas Negras";"Chile";"-23.743";"-67.534";"5852";""
"";"Guallatiri";"Chile";"-18.42";"-69.092";"6071";""
"";"Isluga";"Chile";"-19.15";"-68.83";"5550";""
"";"Lascar";"Chile";"-23.37";"-67.73";"5592";""
"";"Lastarria";"Chile";"-25.168";"-68.507";"5706";""
"";"Licancabur";"Chile";"-22.83";"-67.88";"5916";""
"";"Miniques";"Chile";"-23.82";"-67.77";"5910";""
"";"Negrillar, El";"Chile";"-24.18";"-68.25";"3500";""
"";"Negrillar, La";"Chile";"-24.319";"-68.59";"4220";""
"";"Overo, Cerro";"Chile";"-23.52";"-67.67";"4555";""
"";"Purico Complex";"Chile";"-23";"-67.75";"5703";""
"";"Putana";"Chile";"-22.557";"-67.853";"5884";""
"";"San Pedro-San Pablo";"Chile";"-21.888";"-68.391";"6142";""
"";"Taapaca";"Chile";"-18.1";"-69.5";"5860";""
"";"Tacora";"Chile";"-17.721";"-69.773";"5960";""
"";"Tata Sabaya";"Chile";"-19.13";"-68.53";"5430";""
"";"Tilocalar";"Chile";"-23.97";"-68.13";"3109";""
"";"Tujle, Cerro";"Chile";"-23.83";"-67.95";"3550";""
"";"Aguilera";"Chile";"-50.33";"-73.75";"2546";""
"";"Arenales";"Chile";"-47.2";"-73.483";"3437";""
"";"Burney, Monte";"Chile";"-52.33";"-73.4";"1758";""
"";"Calbuco";"Chile";"-41.33";"-72.618";"1974";""
"";"Cay";"Chile";"-45.059";"-72.984";"2090";""
"";"Cayute-La Vigueria";"Chile";"-41.25";"-72.27";"506";""
"";"Cayutue-La Vigueria";"Chile";"-41.3";"-72.27";"506";""
"";"Chaiten";"Chile";"-42.835";"-72.651";"1122";""
"";"Corcovado";"Chile";"-43.189";"-72.794";"1826";""
"";"Fueguino";"Chile";"-54.97";"-70.262";"157";""
"";"Hornopiren";"Chile";"-41.874";"-72.431";"1572";""
"";"Hudson, Cerro";"Chile";"-45.9";"-72.97";"1905";""
"";"Huequi";"Chile";"-42.377";"-72.578";"1318";""
"";"Lautaro";"Chile";"-49.019";"-73.504";"3542";""
"";"Maca";"Chile";"-45.1";"-73.17";"2960";""
"";"Melimoyu";"Chile";"-44.08";"-72.88";"2400";""
"";"Mentolat";"Chile";"-44.7";"-73.08";"1660";""
"";"Meullin";"Chile";"-45.22";"-73.05";"1080";""
"";"Michinmahuida";"Chile";"-42.799";"-72.445";"2452";""
"";"Osorno";"Chile";"-41.105";"-72.496";"2659";""
"";"Palena Volcanic Group";"Chile";"-43.42";"-72.83";"2991";""
"";"Pali-Aike Volcanic Field";"Chile";"-52.082";"-69.698";"282";""
"";"Puyuhuapi";"Chile";"-44.3";"-72.53";"524";""
"";"Reclus";"Chile";"-50.964";"-73.58";"1403";""
"";"RA�o Murta";"Chile";"-46.167";"-72.667";"";""
"";"Tronador";"Chile";"-41.157";"-71.885";"3478";""
"";"Yanteles";"Chile";"-43.469";"-72.782";"1790";""
"";"Yate";"Chile";"-41.755";"-72.396";"2187";""
"";"Crater Basalt Volcanic Field";"Argentina";"-42.018";"-70.194";"1344";""
"";"Arxan-Chaihe";"China";"47.45";"120.8";"1677";""
"";"Honggeertu";"China";"41.59";"113.111";"1605";""
"";"Jingpohu";"China";"44.08";"128.83";"1000";""
"";"Keluo Group";"China";"49.37";"125.92";"670";""
"";"Longgang Group";"China";"42.33";"126.5";"1000";""
"";"Wudalianchi";"China";"48.722";"126.15";"597";""
"";"Changbaishan";"North Korea";"41.98";"128.08";"2744";""
"";"Tengchong";"China";"25.23";"98.5";"2865";""
"";"Ashikule Volcanic Field";"China";"35.742";"81.646";"5090";""
"";"Tianshan Volc Group";"China";"42.5";"82.5";"0";""
"";"Turfan";"China";"42.9";"89.25";"0";""
"";"Unnamed";"China";"35.85";"91.7";"5400";""
"";"Azufral";"Colombia";"1.08";"-77.68";"4070";""
"";"Bravo, Cerro";"Colombia";"5.091";"-75.293";"3985";""
"";"Cumbal";"Colombia";"0.95";"-77.87";"4764";""
"";"Dona Juana";"Colombia";"1.5";"-76.936";"4137";""
"";"Galeras";"Colombia";"1.22";"-77.37";"4276";""
"";"Huila, Nevado del";"Colombia";"2.93";"-76.03";"5364";""
"";"Machin";"Colombia";"4.487";"-75.389";"2749";""
"";"Petacas";"Colombia";"1.57";"-76.78";"3280";""
"";"Purace";"Colombia";"2.32";"-76.4";"4650";""
"";"Romeral";"Colombia";"5.203";"-75.363";"3769";""
"";"Ruiz, Nevado del";"Colombia";"4.892";"-75.324";"5279";""
"";"Santa Isabel";"Colombia";"4.818";"-75.365";"4944";""
"";"Sotara";"Colombia";"2.108";"-76.592";"4400";""
"";"Tolima, Nevado del";"Colombia";"4.658";"-75.33";"5215";""
"";"Chiles-Cerro Negro";"Ecuador";"0.817";"-77.938";"4698";""
"";"Arenal";"Costa Rica";"10.463";"-84.703";"1670";""
"";"Barva";"Costa Rica";"10.135";"-84.1";"2906";""
"";"Irazu";"Costa Rica";"9.979";"-83.852";"3436";""
"";"Miravalles";"Costa Rica";"10.748";"-85.153";"2028";""
"";"Orosi";"Costa Rica";"10.98";"-85.473";"1659";""
"";"Platanar";"Costa Rica";"10.3";"-84.366";"2267";""
"";"Poas";"Costa Rica";"10.2";"-84.233";"2697";""
"";"Rincon de la Vieja";"Costa Rica";"10.83";"-85.324";"1916";""
"";"Tenorio";"Costa Rica";"10.673";"-85.015";"1916";""
"";"Turrialba";"Costa Rica";"10.025";"-83.767";"3340";""
"";"Dawson Strait Group";"Papua New Guinea";"-9.62";"150.88";"500";""
"";"Goodenough";"Papua New Guinea";"-9.358";"150.246";"220";""
"";"Iamalele";"Papua New Guinea";"-9.506";"150.524";"194";""
"";"Aliso";"Ecuador";"-0.53";"-78";"4267";""
"";"Antisana";"Ecuador";"-0.481";"-78.141";"5753";""
"";"Atacazo";"Ecuador";"-0.353";"-78.617";"4463";""
"";"Cayambe";"Ecuador";"0.029";"-77.986";"5790";""
"";"Chacana";"Ecuador";"-0.375";"-78.25";"4643";""
"";"Chachimbiro";"Ecuador";"0.468";"-78.287";"4106";""
"";"Chimborazo";"Ecuador";"-1.469";"-78.817";"6261";""
"";"Cotopaxi";"Ecuador";"-0.677";"-78.436";"5911";""
"";"Cuicocha";"Ecuador";"0.308";"-78.364";"3246";""
"";"Guagua Pichincha";"Ecuador";"-0.171";"-78.598";"4784";""
"";"Iliniza";"Ecuador";"-0.662";"-78.716";"5162";""
"";"Imbabura";"Ecuador";"0.258";"-78.183";"4609";""
"";"Licto";"Ecuador";"-1.786";"-78.614";"3322";""
"";"Mojanda";"Ecuador";"0.13";"-78.27";"4263";""
"";"Pululahua";"Ecuador";"0.046";"-78.49";"3360";""
"";"Quilotoa";"Ecuador";"-0.859";"-78.904";"3914";""
"";"Reventador";"Ecuador";"-0.077";"-77.656";"3562";""
"";"Sangay";"Ecuador";"-2.005";"-78.341";"5286";""
"";"Soche";"Ecuador";"0.552";"-77.58";"3955";""
"";"Sumaco";"Ecuador";"-0.538";"-77.626";"3990";""
"";"Tungurahua";"Ecuador";"-1.467";"-78.442";"5023";""
"";"Apaneca Range";"El Salvador";"13.872";"-89.742";"2028";""
"";"Apastepeque Field";"El Salvador";"13.72";"-88.77";"700";""
"";"Aramuaca, Laguna";"El Salvador";"13.428";"-88.105";"181";""
"";"Chinameca";"El Salvador";"13.478";"-88.33";"1300";""
"";"Cinotepeque, Cerro";"El Salvador";"14.02";"-89.25";"665";""
"";"Coatepeque Caldera";"El Salvador";"13.87";"-89.55";"746";""
"";"Conchagua";"El Salvador";"13.277";"-87.853";"1250";""
"";"Conchaguita";"El Salvador";"13.22";"-87.765";"550";""
"";"Guazapa";"El Salvador";"13.9";"-89.12";"1438";""
"";"Ilopango";"El Salvador";"13.672";"-89.053";"450";""
"";"Izalco";"El Salvador";"13.813";"-89.633";"1950";""
"";"San Diego";"El Salvador";"14.27";"-89.48";"781";""
"";"San Marcelino";"El Salvador";"13.853";"-89.63";"2381";""
"";"San Miguel";"El Salvador";"13.434";"-88.269";"2130";""
"";"San Salvador";"El Salvador";"13.734";"-89.294";"1893";""
"";"San Vicente";"El Salvador";"13.595";"-88.837";"2182";""
"";"Santa Ana";"El Salvador";"13.853";"-89.63";"2381";""
"";"Singuil, Cerro";"El Salvador";"14.054";"-89.631";"926";""
"";"Taburete";"El Salvador";"13.435";"-88.532";"1172";""
"";"Tecapa";"El Salvador";"13.494";"-88.502";"1593";""
"";"Tigre, El";"El Salvador";"13.47";"-88.43";"1640";""
"";"Usulutan";"El Salvador";"13.419";"-88.471";"1449";""
"";"Manda Gargori";"Ethiopia";"11.75";"41.48";"700";""
"";"Koro";"Fiji";"-17.32";"179.4";"522";""
"";"Nabukelevu";"Fiji";"-19.118";"177.982";"791";""
"";"Taveuni";"Fiji";"-16.841";"-179.964";"1241";""
"";"Chaine des Puys";"France";"45.786";"2.981";"1464";""
"";"Alcedo";"Ecuador";"-0.43";"-91.12";"1130";""
"";"Azul, Cerro";"Ecuador";"-0.92";"-91.408";"1640";""
"";"Darwin";"Ecuador";"-0.18";"-91.28";"1330";""
"";"Ecuador";"Ecuador";"-0.02";"-91.546";"790";""
"";"Fernandina";"Ecuador";"-0.37";"-91.55";"1476";""
"";"Genovesa";"Ecuador";"0.32";"-89.958";"64";""
"";"Marchena";"Ecuador";"0.33";"-90.47";"343";""
"";"Negra, Sierra";"Ecuador";"-0.83";"-91.17";"1124";""
"";"Pinta";"Ecuador";"0.58";"-90.75";"780";""
"";"San Cristobal";"Ecuador";"-0.88";"-89.5";"759";""
"";"Santa Cruz";"Ecuador";"-0.62";"-90.33";"864";""
"";"Santiago";"Ecuador";"-0.22";"-90.77";"920";""
"";"Wolf";"Ecuador";"0.02";"-91.35";"1710";""
"";"Kabargin Oth Group";"Georgia";"42.55";"44";"3650";""
"";"Kazbek";"Georgia";"42.7";"44.5";"5050";""
"";"Samsari Volcanic Center";"Georgia";"41.542";"43.7";"3290";""
"";"Unnamed";"Georgia";"42.45";"44.25";"3750";""
"";"West Eifel Volcanic Field";"Germany";"50.17";"6.85";"600";""
"";"Methana";"Greece";"37.619";"23.333";"380";""
"";"Milos";"Greece";"36.699";"24.439";"751";""
"";"Nisyros";"Greece";"36.589";"27.155";"698";""
"";"Santorini";"Greece";"36.404";"25.396";"367";""
"";"Yali";"Greece";"36.671";"27.14";"180";""
"";"Acatenango";"Guatemala";"14.501";"-90.876";"3976";""
"";"Agua";"Guatemala";"14.465";"-90.743";"3760";""
"";"Almolonga";"Guatemala";"14.797";"-91.519";"3173";""
"";"Atitlan";"Guatemala";"14.583";"-91.186";"3535";""
"";"Chingo";"Guatemala";"14.12";"-89.73";"1775";""
"";"Chiquimula Volcanic Field";"Guatemala";"14.83";"-89.55";"1192";""
"";"Cuilapa-Barbarena";"Guatemala";"14.33";"-90.4";"1454";""
"";"Flores";"Guatemala";"14.308";"-89.992";"1600";""
"";"Fuego";"Guatemala";"14.473";"-90.88";"3763";""
"";"Ipala";"Guatemala";"14.55";"-89.63";"1650";""
"";"Ixtepeque";"Guatemala";"14.42";"-89.68";"1292";""
"";"Jumaytepeque";"Guatemala";"14.34";"-90.271";"1802";""
"";"Moyuta";"Guatemala";"14.03";"-90.1";"1662";""
"";"Pacaya";"Guatemala";"14.382";"-90.601";"2569";""
"";"Quezaltepeque";"Guatemala";"14.57";"-89.45";"1200";""
"";"Santa Maria";"Guatemala";"14.757";"-91.552";"3745";""
"";"Santiago, Cerro";"Guatemala";"14.33";"-89.87";"1192";""
"";"Suchitan";"Guatemala";"14.4";"-89.78";"2042";""
"";"Tahual";"Guatemala";"14.43";"-89.9";"1716";""
"";"Tajumulco";"Guatemala";"15.043";"-91.903";"4203";""
"";"Tecuamburro";"Guatemala";"14.156";"-90.407";"1845";""
"";"Toliman";"Guatemala";"14.612";"-91.189";"3158";""
"";"Amasing";"Indonesia";"-0.525";"127.496";"1006";""
"";"Bibinoi";"Indonesia";"-0.761";"127.725";"932";""
"";"Dukono";"Indonesia";"1.699";"127.878";"1273";""
"";"Gamalama";"Indonesia";"0.81";"127.332";"1714";""
"";"Gamkonora";"Indonesia";"1.38";"127.53";"1635";""
"";"Hiri";"Indonesia";"0.9";"127.32";"630";""
"";"Ibu";"Indonesia";"1.488";"127.63";"1325";""
"";"Jailolo";"Indonesia";"1.08";"127.439";"993";""
"";"Kie Besi";"Indonesia";"0.32";"127.4";"1357";""
"";"Kie Matubu";"Indonesia";"0.662";"127.403";"1713";""
"";"Mare";"Indonesia";"0.57";"127.4";"308";""
"";"Moti";"Indonesia";"0.454";"127.411";"927";""
"";"Tarakan";"Indonesia";"1.832";"127.825";"317";""
"";"Tigalalu";"Indonesia";"0.07";"127.42";"422";""
"";"Tobaru";"Indonesia";"1.63";"127.67";"1035";""
"";"Todoko-Ranu";"Indonesia";"1.239";"127.456";"979";""
"";"Haleakala";"United States";"20.708";"-156.25";"3055";""
"";"Hualalai";"United States";"19.692";"-155.87";"2523";""
"";"Kama'ehuakanaloa";"United States";"18.92";"-155.27";"-975";""
"";"Kilauea";"United States";"19.421";"-155.287";"1222";""
"";"Mauna Kea";"United States";"19.82";"-155.47";"4205";""
"";"Mauna Loa";"United States";"19.475";"-155.608";"4170";""
"";"Unnamed";"United States";"21.75";"-158.75";"-3000";""
"";"Unnamed";"United States";"23.58";"-163.83";"-4000";""
"";"Akan";"Japan";"43.384";"144.013";"1499";""
"";"Esan";"Japan";"41.805";"141.166";"618";""
"";"Hokkaido-Komagatake";"Japan";"42.063";"140.677";"1131";""
"";"Kussharo";"Japan";"43.615";"144.427";"574";""
"";"Kuttara";"Japan";"42.491";"141.16";"549";""
"";"Mashu";"Japan";"43.572";"144.561";"857";""
"";"Niseko";"Japan";"42.875";"140.659";"1308";""
"";"Oshima-Oshima";"Japan";"41.51";"139.367";"732";""
"";"Rausudake";"Japan";"44.076";"145.122";"1660";""
"";"Rishirizan";"Japan";"45.179";"141.242";"1721";""
"";"Shikaribetsu Group";"Japan";"43.28";"143.08";"1430";""
"";"Shikotsu";"Japan";"42.688";"141.38";"1320";""
"";"Shiretoko-Iozan";"Japan";"44.133";"145.161";"1562";""
"";"Taisetsuzan";"Japan";"43.664";"142.854";"2291";""
"";"Tenchozan";"Japan";"44.044";"145.086";"1046";""
"";"Tokachidake";"Japan";"43.418";"142.686";"2077";""
"";"Toya";"Japan";"42.544";"140.839";"733";""
"";"Yoteizan";"Japan";"42.827";"140.812";"1888";""
"";"Tigre, Isla del";"Honduras";"13.274";"-87.639";"774";""
"";"Utila Island";"Honduras";"16.1";"-86.9";"74";""
"";"Yojoa, Lago";"Honduras";"14.964";"-87.983";"1060";""
"";"Zacate Grande, Isla";"Honduras";"13.33";"-87.63";"640";""
"";"Abu";"Japan";"34.483";"131.517";"641";""
"";"Adatarayama";"Japan";"37.647";"140.281";"1728";""
"";"Akagisan";"Japan";"36.56";"139.193";"1828";""
"";"Akandanayama";"Japan";"36.2";"137.573";"2109";""
"";"Akita-Komagatake";"Japan";"39.761";"140.799";"1637";""
"";"Akita-Yakeyama";"Japan";"39.964";"140.757";"1366";""
"";"Asamayama";"Japan";"36.406";"138.523";"2568";""
"";"Azumayama";"Japan";"37.735";"140.244";"1949";""
"";"Bandaisan";"Japan";"37.601";"140.072";"1816";""
"";"Chokaisan";"Japan";"39.099";"140.049";"2236";""
"";"Fujisan";"Japan";"35.361";"138.728";"3776";""
"";"Hachimantai";"Japan";"39.958";"140.854";"1613";""
"";"Hakkodasan";"Japan";"40.659";"140.877";"1585";""
"";"Hakoneyama";"Japan";"35.233";"139.021";"1438";""
"";"Hakusan";"Japan";"36.155";"136.771";"2702";""
"";"Harunasan";"Japan";"36.477";"138.851";"1449";""
"";"Hijiori";"Japan";"38.599";"140.162";"552";""
"";"Hiuchigatake";"Japan";"36.955";"139.285";"2356";""
"";"Iwakisan";"Japan";"40.656";"140.303";"1625";""
"";"Iwatesan";"Japan";"39.853";"141.001";"2038";""
"";"Izu-Tobu";"Japan";"34.9";"139.098";"1406";""
"";"Kurikomayama";"Japan";"38.961";"140.788";"1627";""
"";"Kusatsu-Shiranesan";"Japan";"36.618";"138.528";"2165";""
"";"Megata";"Japan";"39.95";"139.73";"160";""
"";"Midagahara";"Japan";"36.571";"137.59";"2621";""
"";"Myokosan";"Japan";"36.891";"138.114";"2454";""
"";"Nantaisan";"Japan";"36.765";"139.491";"2486";""
"";"Naruko";"Japan";"38.729";"140.734";"470";""
"";"Nasudake";"Japan";"37.125";"139.963";"1915";""
"";"Niigata-Yakeyama";"Japan";"36.921";"138.036";"2400";""
"";"Nikko-Shiranesan";"Japan";"36.799";"139.376";"2578";""
"";"Norikuradake";"Japan";"36.106";"137.554";"3026";""
"";"Numazawa";"Japan";"37.444";"139.566";"835";""
"";"Oki-Dogo";"Japan";"36.176";"133.334";"151";""
"";"Omanago Group";"Japan";"36.807";"139.476";"2341";""
"";"Ontakesan";"Japan";"35.893";"137.48";"3067";""
"";"Osorezan";"Japan";"41.279";"141.12";"878";""
"";"Sanbesan";"Japan";"35.141";"132.622";"1126";""
"";"Shiga";"Japan";"36.688";"138.519";"2041";""
"";"Takaharayama";"Japan";"36.9";"139.777";"1795";""
"";"Towada";"Japan";"40.51";"140.88";"1011";""
"";"Washiba-Kumonotaira";"Japan";"36.408";"137.594";"2924";""
"";"Yakedake";"Japan";"36.227";"137.587";"2455";""
"";"Yokodake";"Japan";"36.087";"138.32";"2480";""
"";"Zaozan [Zaosan]";"Japan";"38.144";"140.44";"1841";""
"";"Theistareykir";"Iceland";"65.883";"-16.967";"563";""
"";"Manareyjar";"Iceland";"66.3";"-17.1";"0";""
"";"Kolbeinsey Ridge";"Iceland";"66.67";"-18.5";"5";""
"";"Tjornes Fracture Zone";"Iceland";"66.309";"-17.118";"-75";""
"";"Askja";"Iceland";"65.033";"-16.783";"1080";""
"";"Bardarbunga";"Iceland";"64.633";"-17.516";"2000";""
"";"Fremrinamar";"Iceland";"65.416";"-16.666";"970";""
"";"Grimsvotn";"Iceland";"64.416";"-17.316";"1719";""
"";"Heidarspordar";"Iceland";"65.583";"-16.817";"490";""
"";"Krafla";"Iceland";"65.715";"-16.728";"800";""
"";"Kverkfjoll";"Iceland";"64.653";"-16.647";"1930";""
"";"Lakagigar";"Iceland";"64.42";"-17.33";"1725";""
"";"Snaefell";"Iceland";"64.798";"-15.56";"1833";""
"";"Thordarhyrna";"Iceland";"64.267";"-17.617";"1650";""
"";"Trollagigar";"Iceland";"64.43";"-18.13";"1000";""
"";"Tungnafellsjokull";"Iceland";"64.75";"-17.916";"1523";""
"";"Eyjafjallajokull";"Iceland";"63.633";"-19.633";"1651";""
"";"Hekla";"Iceland";"63.983";"-19.666";"1490";""
"";"Hromundartindur";"Iceland";"64.083";"-21.333";"550";""
"";"Katla";"Iceland";"63.633";"-19.083";"1490";""
"";"Krakagiger";"Iceland";"63.98";"-19.7";"1491";""
"";"Lambafit";"Iceland";"64.08";"-19.4";"550";""
"";"Mundafell";"Iceland";"63.98";"-19.7";"1491";""
"";"Thordarhyrna";"Iceland";"62.27";"-17.6";"1659";""
"";"Tindfjallajokull";"Iceland";"63.783";"-19.716";"1464";""
"";"Torfajokull";"Iceland";"63.892";"-19.122";"1280";""
"";"Vestmannaeyjar";"Iceland";"63.416";"-20.266";"283";""
"";"Esjufjoll";"Iceland";"64.25";"-16.583";"1620";""
"";"Oraefajokull";"Iceland";"64";"-16.65";"2010";""
"";"Brennisteinsfjoll";"Iceland";"63.933";"-21.783";"610";""
"";"Eldey";"Iceland";"63.733";"-23";"70";""
"";"Grimsnes";"Iceland";"64.05";"-20.883";"200";""
"";"Hengill";"Iceland";"64.083";"-21.416";"803";""
"";"Hofsjokull";"Iceland";"64.833";"-18.766";"1765";""
"";"Kristnitokugigar";"Iceland";"63.98";"-21.42";"301";""
"";"Krysuvik-Trolladyngja";"Iceland";"63.917";"-22.067";"360";""
"";"Oddnyjarhnjukur-Langjokull";"Iceland";"64.85";"-19.7";"1100";""
"";"Prestahnukur";"Iceland";"64.583";"-20.666";"1385";""
"";"Reykjanes";"Iceland";"63.817";"-22.717";"140";""
"";"Reykjaneshryggur";"Iceland";"63.67";"-23.33";"80";""
"";"Helgrindur";"Iceland";"64.866";"-23.283";"986";""
"";"Ljosufjoll";"Iceland";"64.9";"-22.483";"1063";""
"";"Snaefellsjokull";"Iceland";"64.8";"-23.783";"1446";""
"";"Unnamed";"Indian Ocean";"11.75";"80.75";"0";""
"";"Est, Ile de l'";"French Southern & Antarctic Lands";"-46.43";"52.2";"1090";""
"";"Kerguelen Islands";"French Southern & Antarctic Lands";"-49.58";"69.5";"1840";""
"";"Heard";"Heard I. & McDonald Is.";"-53.106";"73.513";"2745";""
"";"Amsterdam Island";"Indian Ocean";"-37.83";"77.52";"881";""
"";"Cochons, Ile Aux";"Indian Ocean";"-46.1";"50.23";"775";""
"";"McDonald Islands";"Indian Ocean";"-53.03";"72.6";"230";""
"";"Possession, Ile de la";"Indian Ocean";"-46.42";"51.75";"934";""
"";"Prince Edward Island";"Indian Ocean";"-46.63";"37.95";"672";""
"";"St. Paul";"Indian Ocean";"-38.72";"77.53";"268";""
"";"Marion Island";"South Africa";"-46.9";"37.75";"1230";""
"";"Grille, La";"Comoros";"-11.47";"43.33";"1087";""
"";"Karthala";"Comoros";"-11.75";"43.38";"2361";""
"";"Mayotte";"France";"-12.83";"45.17";"660";""
"";"Fournaise, Piton de la";"Reunion";"-21.244";"55.708";"2632";""
"";"Boomerang Seamount";"Antarctica";"-37.722";"77.822";"-650";""
"";"Krakatau";"Indonesia";"-6.101";"105.423";"285";""
"";"Bazman";"Iran";"28.07";"60";"3490";""
"";"Damavand";"Iran";"35.951";"52.109";"5670";""
"";"Kuh-e Nader";"Iran";"28.17";"60.67";"1500";""
"";"Qal'eh Hasan Ali";"Iran";"29.4";"57.57";"0";""
"";"Sabalan";"Iran";"38.268";"47.835";"4784";""
"";"Sahand";"Iran";"37.75";"46.43";"3707";""
"";"Taftan";"Iran";"28.6";"61.13";"3940";""
"";"Unnamed";"Iran";"39.25";"45.167";"";""
"";"Campi Flegrei";"Italy";"40.827";"14.139";"458";""
"";"Campi Flegrei del Mar di Sicilia";"Italy";"37.1";"12.7";"-8";""
"";"Colli Albani";"Italy";"41.757";"12.725";"949";""
"";"Etna";"Italy";"37.748";"14.999";"3357";""
"";"Ischia";"Italy";"40.73";"13.897";"789";""
"";"Larderello";"Italy";"43.25";"10.87";"500";""
"";"Lipari";"Italy";"38.49";"14.933";"590";""
"";"Marsili";"Italy";"39.284";"14.399";"-779";""
"";"Palinuro";"Italy";"39.48";"14.83";"-70";""
"";"Panarea";"Italy";"38.638";"15.064";"399";""
"";"Pantelleria";"Italy";"36.77";"12.02";"836";""
"";"Stromboli";"Italy";"38.789";"15.213";"924";""
"";"Vesuvius";"Italy";"40.821";"14.426";"1281";""
"";"Vulcano";"Italy";"38.404";"14.962";"500";""
"";"Vulsini";"Italy";"42.6";"11.93";"800";""
"";"Aogashima";"Japan";"32.458";"139.759";"423";""
"";"Doyo Seamount";"Japan";"27.68";"140.8";"-590";""
"";"Hachijojima";"Japan";"33.137";"139.766";"854";""
"";"Izu-Oshima";"Japan";"34.724";"139.394";"746";""
"";"Izu-Torishima";"Japan";"30.484";"140.303";"394";""
"";"Kita-Bayonnaise";"Japan";"32.1";"139.85";"-360";""
"";"Kozushima";"Japan";"34.219";"139.153";"572";""
"";"Kurose Hole";"Japan";"33.4";"139.68";"-114";""
"";"Mikurajima";"Japan";"33.874";"139.602";"851";""
"";"Miyakejima";"Japan";"34.094";"139.526";"775";""
"";"Mokuyo Seamount";"Japan";"28.327";"140.572";"-933";""
"";"Myojinsho";"Japan";"31.888";"139.918";"11";""
"";"Niijima";"Japan";"34.397";"139.27";"432";""
"";"Sofugan";"Japan";"29.794";"140.342";"99";""
"";"Sumisujima";"Japan";"31.44";"140.051";"136";""
